"INDIGO" LE LTP=1740.3  RSI=58.80961765865192  SUPERTEND=1726.8599845342783 up MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:56.078983
"ULTRACEMCO" SE LTP=5056.5  RSI=43.94420314066155  SUPERTEND=5113.643490742572 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:56.366751
"ACC" SE LTP=1660.55  RSI=24.4736842105262  SUPERTEND=1666.1493333333333 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:56.620745
"DABUR" SE LTP=502.05  RSI=44.57142857142863  SUPERTEND=502.6332665591221 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:57.100910
"ASHOKLEY" SE LTP=95.2  RSI=39.86928104575156  SUPERTEND=95.86680823572016 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:58.108940
"CUMMINSIND" SE LTP=567.95  RSI=40.87656529516997  SUPERTEND=572.1323558057613 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:59.200522
"SHREECEM" SE LTP=24954.15  RSI=40.74999081793813  SUPERTEND=25079.91652637059 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:59.699189
"APOLLOTYRE" SE LTP=188.25  RSI=43.843843843843786  SUPERTEND=188.65 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 15:32:04.856411
"PIDILITIND" SE LTP=1615.2  RSI=42.39802224969104  SUPERTEND=1619.4650794096024 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:32:05.455599
"HAVELLS" SE LTP=825.8  RSI=37.66909469302803  SUPERTEND=830.6658700760961 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:32:05.702948
"LICHSGFIN" SE LTP=348.55  RSI=40.35674470457082  SUPERTEND=352.4596325522085 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:32:05.892525
"IDEA" SE LTP=9.6  RSI=33.33333333333333  SUPERTEND=9.775912345564885 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:32:06.581256
"IDFCFIRSTB" SE LTP=36.75  RSI=43.10344827586202  SUPERTEND=37.225994542874155 down MACD= Cross-Over above line TIMESTAMP=2020-12-07 15:32:06.851877
"ICICIGI" SE LTP=1442.75  RSI=23.82461701003683  SUPERTEND=1452.282486031666 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:32:08.236321
"GMRINFRA" SE LTP=26.35  RSI=38.88888888888893  SUPERTEND=26.626391067449475 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:32:09.161375
"BEL" SE LTP=114.95  RSI=33.98692810457513  SUPERTEND=115.79279470529492 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:32:11.496559
"AMBUJACEM" SE LTP=253.1  RSI=28.508771929824732  SUPERTEND=254.5300325925926 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:32:16.207571
"BERGEPAINT" buy already LTP=672.2  RSI=57.263751763046706  SUPERTEND=667.1760561690064 up MACD= No Cross-Over TIMESTAMP=2020-12-07 15:32:16.875603
"IDEA" SE LTP=9.6  RSI=33.33333333333333  SUPERTEND=9.775912345564885 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:32:16.989517
"COFORGE" SE LTP=2455.7  RSI=43.33605887162703  SUPERTEND=2475.8965195041214 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:32:17.427991
"ACC" SE LTP=1660.55  RSI=24.4736842105262  SUPERTEND=1666.1493333333333 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:32:18.781947
"CUMMINSIND" SE LTP=567.95  RSI=40.87656529516997  SUPERTEND=572.1323558057613 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:32:19.878857
